synthetic_data_dictionary
Variable Name,Variable Type,ALSPAC Responses,Numeric Values,Processing Details,Reference Document
dep_band_13,Ordinal,,"Given as a percentage, ‘~, ’<‘ and ‘>’ have been removed",Depression was determined using the DAWBA. The caregiver completed the computerised questions and an ordered categorical measure of depression with 6 categories was derived using computer algorithms. The categories are probability bands and indicate the likelihood of the child having any anxiety disorder. The categories range from <0.1% (0.1% children in this band have depression) to > 70% (>70% of children in this band have depression). See Goodman2011 for more details.,Goodman2011.pdf
dep_band_15,Ordinal,,"Given as a percentage, ‘~, ’<‘ and ‘>’ have been removed",Depression was determined using the DAWBA. The child completed the computerised questions and an ordered categorical measure of depression with 6 categories was derived using computer algorithms. The categories are probability bands and indicate the likelihood of the child having depression. The categories range from <0.1% (0.1% children in this band have depression) to > 70% (>70% of children in this band have depression). See Goodman2011 for more details.,Goodman2011.pdf
birth_order,Nominal,A = first or only born,0,ALSPAC codes: A = first or only born. B = second born.,
,,B = second born,1,,
child_bull,Nominal,Yes,1,None,
 ,,No,0,,
comp_bed_9,Nominal,Yes,1,None,
 ,,No,0,,
comp_games,Nominal,Yes,1,None,
 ,,No,0,,
comp_house,Nominal,In her/his room,1,"ALSPAC coded ""Have in house"" responses as ""Yes""",
 ,,Have in house,NA,,
,,Bought in last 6 months,NA,,
,,Intend to buy,NA,,
comp_int_bed_16,Nominal,In her/his room,1,"ALSPAC coded ""In his/her room"" responses as ""Yes""",
 ,,Have in house,NA,,
 ,,Bought in last 6 months,NA,,
,,Intend to buy,NA,,
comp_noint_bed_16,Nominal,In her/his room,1,"ALSPAC coded ""In his/her room"" responses as ""Yes""",
 ,,Have in house,NA,,
 ,,Bought in last 6 months,NA,,
,,Intend to buy,NA,,
comp_week,Ordinal,Not at all,0,None,
 ,,Less than 1 hour,1,,
 ,,1-2 hours,2,,
 ,,3 or more hours,3,,
comp_wend,Ordinal,Not at all,0,None,
 ,,Less than 1 hour,1,,
 ,,1-2 hours,2,,
 ,,3 or more hours,3,,
creat_14,Ordinal,Sometimes,0,"The category ""Not at all"" was collapsed into the ""Sometimes"" category. The category ""Always"" was collapsed into the ""Often"" category.",
 ,,Often,1,,
dep_score,Ordinal,,,"Higher scores indicate higher levels of depressive symptomatology.  They were scored following: +1 if less/no enjoyment with life during the past week, +1 if depressed for >3day in past week, +1 if depressed for >3hr in any day of past week, +1 if unable to be cheered up. See CIS-R Descriptive Summary for details.",CIS-R_descriptive_summary.doc
dep_thoughts,Ordinal,,,"Higher scores indicate higher levels of depressive thoughts. There were scored following: +1 if feelings of needless guilt, +1 if feelings of low self-esteem, +1 if feelings of hopelessness, +1 if felt that life not worth living, +1 if thought seriously about suicide. See CIS-R Descriptive Summary for details.",CIS-R_descriptive_summary.doc
draw_week,Ordinal,Not at all,0,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
 ,,Less than 1 hour,1,,
 ,,1 or more hours,2,,
draw_wend,Ordinal,Not at all,0,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
 ,,Less than 1 hour,1,,
 ,,1 or more hours,2,,
emot_cruel,Nominal,Yes,1,"Partner's emotional cruelty was determined from the following question: ""Since the baby was born: ... Your partner was emotionally cruel to you?"". The responses were: ""Yes & affected me alot"", ""Yes, moderately affected"", ""Yes, mildly affected"", ""Yes, but did not affect me"" and ""No did not happen at all"". ALSPAC combined all categories starting ""Yes..."" to form the new category ""Yes"" and recoded ""No did not happen at all"" as ""No"".",
,,No,0,,
exercise,Ordinal,Never,0,None,
 ,,Less than once a month,1,,
 ,,1-3 times per month,2,,
 ,,1-4 times per week,3,,
 ,,5 or more times a week,4,,
fam_tv_aft,Ordinal,Yes every day,2,"The categories ""No hardly ever"" & ""Don't have a T.V."" were combined and recoded to form the new category ""Other""",
 ,,Yes some days,1,,
,,Other,0,,
fam_tv_eve,Ordinal,Yes every day,2,"The categories ""No hardly ever"" & ""Don't have a T.V."" were combined and recoded to form the new category ""Other""",
 ,,Yes some days,1,,
 ,,Other,0,,
fam_tv_mor,Ordinal,Yes every day,2,"The categories ""No hardly ever"" & ""Don't have a T.V."" were combined and recoded to form the new category ""Other""",
 ,,Yes some days,1,,
 ,,Other,0,,
has_dep_diag,Nominal,Yes,1,Calculated from their Revised Computerised Interview Schedule (CIS-R) score. See CIS-R Descriptive Summary for more information.,CIS-R_descriptive_summary.doc
,,No,0,,
height_16,Continuous,,,None,
iq,Discrete,,,"The Wechsler Intelligence Scale for children (WISC-III UK) was used to assess cognitive function. See alspac_f08doc for more details or Wechsler, D., Golombok, S., & Rust, J. (1992) WISC-III Wechsler Intelligence Scale for Children – Third Edition UK Manual. Sidcup, UK: The Psychological Corporation.",alspac_f08doc.pdf
mat_age,Ordinal,,,The age of the mother was calculated from the mother's date of birth. To preserve confidentiality ALSPAC does not provide each mother's age. Instead the lower and upper age ranges were grouped,
mat_anx_0m,Nominal,Yes,0,"Mother's anxiety was determined from the following question: ""Have you had any of the following since the baby was born ... anxiety or 'nerves'?"" The responses were: ""Yes and consulted doctor"", ""Yes but did not consult doctor"" and ""No"". ALSPAC combined the categories starting with ""Yes.."" into the new category ""Yes"".",
,,No,1,,
mat_anx_1,Nominal,Yes,1,"Mother's anxiety was determined from the following question: ""Have you had any of the following in the past year ... anxiety or 'nerves'?"" The responses were: ""Yes and consulted doctor"", ""Yes but did not consult doctor"" and ""No"". ALSPAC combined the categories starting with ""Yes.."" into the new category ""Yes"".",
,,No,0,,
mat_anx_18m,Nominal,Yes,1,"Mother's anxiety was determined from the following question: ""Have you had any of the following since your study child was 18 months old ... anxiety or 'nerves'?"" The responses were: ""Yes and consulted doctor"", ""Yes but did not consult doctor"" and ""No"". ALSPAC combined the categories starting with ""Yes.."" into the new category ""Yes"". Many mothers only ticked appropriate yes questions, so lack of a tick was coded to ""No"".",
,,No,0,,
mat_anx_8m,Nominal,Yes,1,"Mother's anxiety was determined from the following question: ""Have you had any of the following since your toddler was 8 months old ... anxiety or 'nerves'?"" The responses were: ""Yes and consulted doctor"", ""Yes but did not consult doctor"" and ""No"". ALSPAC combined the categories starting with ""Yes.."" into the new category ""Yes"".",
,,No,0,,
mat_dep,Discrete,,,Calculated according to the 10-item EPDS scale. Scores range from 0 (not depressed) to 29 (very depressed). See Cox1987 for details.,Cox1987.pdf
pat_edu,Ordinal,CSE,0,"Partner's education was determined from the partner's highest reported educational qualification. In England, Wales and Northern Ireland, the Certificate of Secondary Education (CSE) and O level qualifications were taken at 16 but were replaced by the General Certificate of Secondary Education (GCSE). CSE is equivalent to lower GCSE grades (D-G). O level is equivalent to higher GCSE grades (A-C). A level qualifications were, and continue to be, taken at age 18 in these three parts of the UK. Partners who were reported to have no qualifications were collapsed into the ""CSE"" category. See alspac_cdoc for more details.",alspac_cdoc.pdf
,,O level,1,,
,,Vocational,2,,
,,A level,3,,
,,Degree,4,,
mat_edu,Ordinal,CSE,0,"Maternal education was determined from the mother's highest reported educational qualification. In England, Wales and Northern Ireland, the Certificate of Secondary Education (CSE) and O level qualifications were taken at 16 but were replaced by the General Certificate of Secondary Education (GCSE). CSE is equivalent to lower GCSE grades (D-G). O level is equivalent to higher GCSE grades (A-C). A level qualifications were, and continue to be, taken at age 18 in these three parts of the UK. All women who left everything blank were assumed to have no educational qualifications and were combined with the ""CSE/none"" category. Only those who ticked only ‘not known’ were put as missing. See D1104_C for more details.",
,,O level,1,,
,,Vocational,2,,
,,A level,3,,
,,Degree,4,,
musi_13,Nominal,Yes,1,None,
 ,,No,0,,
musi_week,Nominal,Not at all,0,"The categories ""Less than 1 hour"", ""1-2 hours"" and ""3 or more hours"" were combined and recoded to form the new category ""Any at all""",
 ,,Any at all,1,,
musi_wend,Nominal,Not at all,0,"The categories ""Less than 1 hour"", ""1-2 hours"" and ""3 or more hours"" were combined and recoded to form the new category ""Any at all""",
 ,,Any at all,1,,
num_home,Ordinal,,9 or more’ changed to ‘9’ to keep numeric value,"Total number in household was determined from three questions. ""How many people live in your household now (including yourself) ... i) adults (over 18 years)? ... ii) young adults (16-18 years)? ... iii) children (less than 16 years)?"". The three responses were summed together to calculate the total number. Upper total ranges were grouped together into the ""9 or more"" category.",
 ,,,,,
 ,,,,,
out_sum_week,Ordinal,Less than 3 hours,0,"The categories ""Not at all"", ""Less than 1 hour"" and ""1-2 hours"" were combined and recoded to form the new category ""Less than 3 hours""",
,,3 or more hours,1,,
out_sum_wend,Ordinal,Less than 3 hours,0,"The categories ""Not at all"", ""Less than 1 hour"" and ""1-2 hours"" were combined and recoded to form the new category ""Less than 3 hours""",
,,3 or more hours,1,,
out_win_week,Ordinal,Less than 1 hour,0,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category",
 ,,1-2 hours,1,,
 ,,3 or more hours,2,,
out_win_wend,Ordinal,Less than 1 hour,0,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category",
 ,,1-2 hours,1,,
 ,,3 or more hours,2,,
own_mob,Nominal,Yes,1,None,
 ,,No,0,,
panic_score,Ordinal,,,"Higher scores indicate higher levels of panic symptomatology. They were scored following: +1 if panic occurred once in past week, +1 if panic occurred more than once in past week, +1 if panic attack lasted longer than 10 mins, +1 if panic attack was very unpleasant. See CIS-R Descriptive Summary for details.",CIS-R_descriptive_summary.doc
parity,Discrete,,,,
pat_pres,Nominal,Yes,1,None,
 ,,No,0,,
pat_pres_10,Nominal,Yes,1,None,
 ,,No,0,,
pat_pres_8,Nominal,Yes,1,None,
 ,,No,0,,
pat_ses,Ordinal,v = unskilled occupation,0,"To preserve confidentiality ALSPAC does not provide the OPCS job codes for each participant. Instead ALSPAC categorised the data by hand and presented it as occupational classes defined according to current or last occupation using the 1991 British Office of Population and Census Statistics (OPCS) classification. i = professional, etc occupation, ii = managerial or technical occupation, iii (non-manual) = non-manual skilled occupation, iii (manual) = manual skilled occupation, iv = partly skilled occupation, v = unskilled occupation. See OPCS1992 for details.",OPCS1992.pdf
,,iv = partly skilled occupation,1,,
,,iii (manual) = manual skilled occupation,2,,
,,iii (non-manual) = non-manual skilled occupation,3,,
,,ii = managerial or technical occupation,4,,
,," i = professional, etc occupation",5,,
,,Armed Forces,6,,
mat_ses,Ordinal,v = unskilled occupation,0,"To preserve confidentiality ALSPAC does not provide the OPCS job codes for each participant. Instead ALSPAC categorised the data by hand and presented it as occupational classes defined according to current or last occupation using the 1991 British Office of Population and Census Statistics (OPCS) classification. i = professional, etc occupation, ii = managerial or technical occupation, iii (non-manual) = non-manual skilled occupation, iii (manual) = manual skilled occupation, iv = partly skilled occupation, v = unskilled occupation. See OPCS1992 for details.",OPCS1992.pdf
,,iv = partly skilled occupation,1,,
,,iii (manual) = manual skilled occupation,2,,
,,iii (non-manual) = non-manual skilled occupation,3,,
,,ii = managerial or technical occupation,4,,
,," i = professional, etc occupation",5,,
,,Armed Forces,6,,
phone_14_week,Ordinal,Not at all,0,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
 ,,Less than 1 hour,1,,
 ,,1 or more hours,2,,
phone_14_wend,Ordinal,Not at all,0,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
 ,,Less than 1 hour,1,,
 ,,1 or more hours,2,,
phys_cruel,Nominal,Yes,1,"Partner's physical cruelty was determined from the following question: ""Since the baby was born: ... Your partner was physically cruel to you?"". The responses were: ""Yes & affected me alot"", ""Yes, moderately affected"", ""Yes, mildly affected"", ""Yes, but did not affect me"" and ""No did not happen at all"". ALSPAC combined all categories starting ""Yes..."" into the category ""Yes"" and recoded ""No did not happen at all"" as ""No"".",
,,No,0,,
play_week,Ordinal,Less than 3 hours,0,"The categories ""Not at all"", ""Less than 1 hour"" and ""1-2 hours"" were combined and recoded to form the new category ""Less than 3 hours""",
,,3 or more hours,1,,
play_wend,Ordinal,Less than 3 hours,0,"The categories ""Not at all"", ""Less than 1 hour"" and ""1-2 hours"" were combined and recoded to form the new category ""Less than 3 hours""",
,,3 or more hours,1,,
prim_diag,Discrete,,,"Primary diagnosis was determined using the CIS-R. 0 = none, 1 = mild neurosis, 2 = mild GAD, 3 = OCD, 4 = mixed anxiety and depression, 5 = specific phobia, 6 = social phobia, 7 = agoraphobia, 8 = GAD, 9 = panic disorder, 10 = mild depression, 11 = moderate depression, 12 = severe depression",
read_week,Ordinal,Not at all,0,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
 ,,Less than 1 hour,1,,
 ,,1 or more hours,2,,
read_wend,Ordinal,Not at all,0,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
 ,,Less than 1 hour,1,,
 ,,1 or more hours,2,,
secd_diag,Discrete,,,"Secondary diagnosis was determined using the CIS-R. 0 = none, 1 = mild neurosis, 2 = mild GAD, 3 = OCD, 4 = mixed anxiety and depression, 5 = specific phobia, 6 = social phobia, 7 = agoraphobia, 8 = GAD, 9 = panic disorder, 10 = mild depression, 11 = moderate depression, 12 = severe depression",
sex,Nominal,,,None,
talk_mob_week,Ordinal,Not at all,0,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
 ,,Less than 1 hour,1,,
 ,,1 or more hours,2,,
talk_mob_wend,Ordinal,Not at all,0,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
 ,,Less than 1 hour,1,,
 ,,1 or more hours,2,,
talk_phon_week,Ordinal,Not at all,0,"The categories ""Less than 1 hour"", ""1-2 hours"" and ""3 or more hours"" were combined and recoded to form the new category ""Any at all""",
,,Any at all,1,,
talk_phon_wend,Ordinal,Not at all,0,"The categories ""Less than 1 hour"", ""1-2 hours"" and ""3 or more hours"" were combined and recoded to form the new category ""Any at all""",
,,Any at all,1,,
text_week,Ordinal,Not at all,0,None,
 ,,Less than 1 hour,1,,
 ,,1-2 hours,2,,
 ,,3 or more hours,3,,
text_wend,Ordinal,Not at all,0,None,
 ,,Less than 1 hour,1,,
 ,,1-2 hours,2,,
 ,,3 or more hours,3,,
tran_week,Ordinal,Less than 1 hour,0,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category. The categories ""1-2 hours"" and ""3 or more hours"" were combined to form the new category ""1 or more hours""",
 ,,1 or more hours,1,,
tran_wend,Ordinal,Less than 1 hour,0,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category. The categories ""1-2 hours"" and ""3 or more hours"" were combined to form the new category ""1 or more hours""",
 ,,1 or more hours,1,,
tv_bed_16,Nominal,In her/his room,1,"ALSPAC coded ""In his/her room"" responses as ""Yes""",
 ,,Have in house,No value,,
,,Bought in last 6 months,No value,,
,,Intend to buy,No value,,
tv_bed_9,Nominal,Yes,1,None,
 ,,No,0,,
tv_week,Ordinal,Not at all,0,None,
 ,,Less than 1 hour,1,,
 ,,1-2 hours,2,,
 ,,3 or more hours,3,,
tv_wend,Ordinal,Not at all,0,None,
 ,,Less than 1 hour,1,,
 ,,1-2 hours,2,,
 ,,3 or more hours,3,,
weight_16,Continuous,,,None,
work_week,Ordinal,Less than 1 hour,0,"The category ""Not at all"" was combined with the ""Less than 1 hour"" category",
 ,,1-2 hours,1,,
 ,,3 or more hours,2,,
work_wend,Ordinal,Less than 1 hour,0,"The category ""Not at all"" was combined with the ""Less than 1 hour"" category",
 ,,1-2 hours,1,,
,,3 or more hours,2,,
